open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1695168000000,1643.13,1649.34,1618.48,1629.69,107050.1292,1695211199999,174884291.450235,172014,48953.4112,79982490.301916,0
1695211200000,1629.7,1640.79,1604.51,1622.26,125794.1055,1695254399999,204371663.50147,210567,61115.1513,99283892.567535,0
1695254400000,1622.27,1625.3,1588.72,1594.95,121522.2052,1695297599999,195770732.035239,193021,53768.5984,86594313.809645,0
1695297600000,1594.95,1597.1,1567.77,1583.94,119105.3388,1695340799999,188732752.620602,175142,59708.9285,94615557.049264,0
1695340800000,1583.94,1602.68,1576.58,1596.94,64032.1533,1695383999999,101975316.595567,134695,30623.1918,48777742.66717,0
1695384000000,1596.94,1600.58,1586.83,1593.08,60853.9377,1695427199999,97012153.460321,132703,29307.8464,46723354.766445,0
1695427200000,1593.07,1598.24,1589.91,1593.3,31700.0809,1695470399999,50528530.666603,109749,14562.7573,23211656.437694,0
1695470400000,1593.3,1595.46,1587.45,1593.86,32837.0532,1695513599999,52278375.416828,108201,15334.7493,24413306.491574,0
1695513600000,1593.85,1596.27,1590.9,1593.9,29619.4418,1695556799999,47188044.094687,101238,15461.8717,24632834.800081,0
1695556800000,1593.91,1601.12,1570.01,1580.71,107898.4115,1695599999999,171361171.879322,206139,54105.6571,85927991.010192,0
1695600000000,1580.71,1588.2,1563.01,1569.01,89778.2523,1695643199999,141501353.645842,213299,43456.4866,68502422.132633,0
1695643200000,1569.0,1597.5,1564.35,1588.33,86928.6754,1695686399999,137793133.076819,191743,42786.1889,67823774.250349,0
1695686400000,1588.34,1599.78,1585.8,1591.47,56501.997,1695729599999,89878444.779729,149424,27196.6032,43264473.568158,0
1695729600000,1591.46,1595.67,1580.05,1594.01,69081.0191,1695772799999,109672652.509819,167885,32927.025,52281321.666939,0
1695772800000,1594.02,1634.1,1589.65,1629.64,132632.2629,1695815999999,213318368.936253,227278,65649.9137,105634369.388167,0
1695816000000,1629.63,1631.5,1583.5,1598.64,141772.1699,1695859199999,227565188.023801,251211,64659.811,103754781.855609,0
1695859200000,1598.63,1637.76,1598.14,1623.7,140513.0061,1695902399999,227074425.168903,237861,68501.5928,110687010.322289,0
1695902400000,1623.71,1628.26,1621.31,1626.99,11420.1519,1695945599999,18551302.676635,25352,4423.26,7185556.670905,0
